Sunday Best,Surfaces,"[Intro: Forrest]
Good, feeling good

[Chorus: Forrest]
Ayy, feeling good, like I should
Went and took a walk around the neighborhood
Feeling blessed, never stressed
Got that sunshine on my Sunday best (Yeah, ayy, ayy)

[Verse 1: Forrest]
Every day can be a better day, despite the challenge
All you gotta do is leave it better than you found it
It's gonna get difficult to stand, but hold your balance
I just say whatever 'cause there is no way around it 'cause

[Pre-Chorus: Forrest]
Everyone falls down sometimes
But you just gotta know it'll all be fine
It's okay, uh-huh-huh, uh
It's okay, it's okay

[Chorus: Forrest]
Ayy, feeling good like I should
Went and took a walk around the neighborhood
Feeling blessed, never stressed
Got that sunshine on my Sunday best (Ayy)

[Verse 2: Forrest]
Some days you wake up and nothing works, you feel surrounded
Gotta give your feet some gravity to get you grounded
Keep good things inside your ears just like the waves and sound did
And just say whatever 'cause there is no way around it

[Pre-Chorus: Forrest]
Everyone falls down sometimes
But you just gotta know it'll all be fine
It's okay, uh-huh-huh, uh
It's okay, it's okay

[Chorus: Forrest]
Ayy, feeling good, like I should
Went and took a walk around the neighborhood
Feeling blessed, never stressed
Got that sunshine on my Sunday best
Ayy, feeling good, like I should
Went and took a walk around the neighborhood
Feeling blessed, never stressed
Got that sunshine on my Sunday best"
Dollar,Electric Guest,"[Verse 1]
Ooh
You think I'm nothin' but another fool
I'm better
I'm better than you
I'm like ooh
I can feel it from across the room
Whatever
Whatever I do

[Pre-Chorus]
I'm like, this mothafucka might sue me
And that mothafucka might boo me
I'ma keep on goin' to a better day
All this other bitterness can fade away
It doesn't matter I'm ugly
Keep tellin' me I don't love me
Nothin' in my pocket, but I'm still okay
All I really know is how I feel today

[Chorus]
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
So turn the music up and get it poppin'
I'm tryna have some fun 'fore I die slow
So all that really matters is tonight

[Verse 2]
Oh
When they play me on the radio
No manners
No manners at all
I'm like oh
If you're feelin' nothin, let me know
Don't matter
It don't matter, I know

[Pre-Chorus]
'Cause these days, this mothafucka might kill ya
You act too nice, they won't feel you
Lookin' all around me, but I can't relate
Every day, I'm tryna find a new escape
Everybody's a model
You watch too much, you feel hollow
Nothin' in my pocket, but I'm still okay
All I really know is how I feel today

[Chorus]
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
So turn the music up and get it poppin'
I'm tryna have some fun 'fore I die slow
So all that really matters is tonight

[Bridge]
Ooh, tonight
I got a feeling for the first time in my life
Ooh, it's a celebration
Thought I would die before I ever felt alright
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
And even if I never make a profit
I wanna have some fun 'fore my eyes close
So all that really matters is tonight

[Chorus]
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
So turn the music up and get it poppin'
I'm tryna have some fun 'fore I die slow
So all that really matters is tonight

[Outro]
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
And even if I never make a profit
I wanna have some fun 'fore my eyes close
So all that really matters is tonight"
OK,Wallows,"[Verse 1: Dylan Minnette]
I know you so well
You know that I can tell the slightest difference in your facial expression
Don't tell me nothing's on your mind
If we're honest, it will all be fine
I'm someone who likes to talk things through
The hardest thing is getting it out of you
I should sit back and give you a break
Let you close your perfect eyes

[Chorus: Dylan Minnette]
'Cause there's no need to explain
I know what you want to say (Ooh)
We could just say, ""Goodnight"", if you think that's alright
There's no need to explain
I know that we can relate
Can we get up and try to feel okay again?
Okay

[Verse 2: Dylan Minnette]
I'm getting too close
You say you love me most
It's hard to trust it even though I want to
Need to get this shit out of my head
Before I flip this on myself instead
Please come over here
Lay your head right down
Don't make a sound
I hear you loud and clear

[Chorus: Dylan Minnette]
There's no need to explain
I know what you want to say
We could just say, ""Goodnight"", if you think that's alright
There's no need to explain
I know that we can relate
Can we get up and try to feel okay again?
Can we get up and try to feel okay again?
Okay

[Bridge: Dylan Minnette]
If we know we love each other, what's the concern?
Found with or without separation is what I've learned
I'd wait for an hour, or I'd wait for a year
Is your opinion on it something I want to hear?
I know you never lie, but I self-sabotage
I know your love isn't just a mirage
But I tend to panic if I can't reach out and grab it
I need to get out all these bad habits

[Chorus: Dylan Minnette]
There's no need to explain
I know what you wanna say
'Cause you say, ""Goodnight""
If you think that's alright
There's no need to explain
I know that we can relate
Can we get up and try to feel okay again?
Can we get up and try to feel okay again? (Hey)

[Outro: Dylan Minnette]
We can get up and try to feel okay again
We can get up and try to feel okay again
Okay"
