"","song","artist","vibe","rating"
"1","Sunday Best","Surfaces","Decent","positive"
"2","Dollar","Electric Guest","Decent","positive"
"3","OK","Wallows","Cheerful","mixed"
"4","Supalonely","BENEE","Slightly Sad","negative"
"5","Honeypie","JAWNY","Depressing","mixed"
"6","For a Minute","WizTheMc","Dance","positive"
"7","Chemicals","SG Lewis","Sad","negative"
"8","Floating (feat. Khalid) [filous Remix]","Alina Baraz","Happy","positive"
"9","Purple Hat","Sofi Tukker","Happy","positive"
"10","Borderline","Tame Impala","Happy","mixed"
"11","Butterflies","Fiji Blue","Slightly Sad","negative"
"12","Rushing Back","Flume","Happy","positive"
"13","Nirvana","ELLIANA","Rainy Day","mixed"
"14","Group Therapy","Elohim","Rainy Day","negative"
"15","ROCKSTAR (feat. Roddy Ricch)","DaBaby","Decent","positive"
"16","Needs","Verzache","Happy","positive"
"17","Make You Mine","PUBLIC","Decent","mixed"
"18","EARFQUAKE","Tyler, The Creator","Rainy Day","negative"
"19","Can I Call You Tonight?","Dayglow","Sad","mixed"
"20","Youuu","COIN","Happy","mixed"
"21","Nothing","SADBOii","Rainy Day","negative"
"22","Lose My Mind (feat. Mr Gabriel)","Jai Wolf","Depressing","negative"
"23","Good Day","iann dior","Decent","positive"
"24","Running Red Lights (feat. Rivers Cuomo & Pink Siifu)","The Avalanches","Rainy Day","negative"
"25","Let Go Today","Shoffy","Rainy Day","negative"
"26","Potions","SLANDER","Dance","positive"
"27","Sanctuary","Joji","Decent","positive"
"28","THE SCOTTS","THE SCOTTS","Cheerful","positive"
"29","Blueberry Faygo","Lil Mosey","Rainy Day","negative"
"30","Blinding Lights","The Weeknd","Rainy Day","negative"
"31","Toosie Slide","Drake","Simp","negative"
"32","The Box","Roddy Ricch","Depressing","negative"
"33","GOOBA","6ix9ine","Simp","negative"
"34","WHATS POPPIN","Jack Harlow","Simp","negative"
"35","Party Girl","StaySolidRocky","Decent","positive"
"36","Stuck with U (with Justin Bieber)","Ariana Grande","Happy","mixed"
"37","Roses - Imanbek Remix","SAINt JHN","Rainy Day","negative"
"38","After Party","Don Toliver","Happy","positive"
"39","Righteous","Juice WRLD","Rainy Day","negative"
"40","Walk Em Down (feat. Roddy Ricch)","NLE Choppa","Sad","negative"
"41","death bed (coffee for your head) (feat. beabadoobee)","Powfu","Simp","negative"
"42","Flex (feat. Juice WRLD)","Polo G","Sad","negative"
"43","Circles","Post Malone","Cheerful","mixed"
"44","Sunday Best","Surfaces","Happy","positive"
"45","Say So (feat. Nicki Minaj)","Doja Cat","Rainy Day","mixed"
"46","Intentions (feat. Quavo)","Justin Beiber","Cheerful","positive"
"47","Don't Start Now","Dua Lipa","Sad","negative"
"48","Adore You","Harry Styles","Happy","mixed"
"49","Sea Change","Beck","Dance","mixed"
"50","Into the Unknown","Idina Menzel","Sad","negative"
"51","Coaster","Khalid","Happy","positive"
"52","Say So","Doja Cat","Sad","mixed"
"53","ROXANNE","Arizona Zervas","Happy","positive"
"54","Falling","Trevor Daniel","Dance","positive"
"55","Gaze","Moux","Rainy Day","negative"
"56","I Remember","Rod Wave","Sad","negative"
"57","Hakuna Matata","Nathan Lane","Dance","mixed"
"58","When I Am Older","Josh Gad","Happy","positive"
"59","Speechless (Full)","Naomi Scott","Simp","negative"
"60","Into the Unknown - Panic! At The Disco Version","Panic! At The Disco","Rainy Day","mixed"
"61","You're Welcome","Dwayne Johnson","Cheerful","mixed"
"62","Remember Me (Lullaby)","Gael Garcia Bernal","Depressing","negative"
"63","Never Too Late","Elton John","Depressing","negative"
"64","When We're Human","Michael-Leon Wooley","Decent","positive"
"65","Dig a Little Deeper","Jenifer Lewis","Dance","mixed"
"66","Try Everything","Shakira","Rainy Day","negative"
"67","Friend Like Me","Will Smith","Happy","mixed"
"68","Nights Like This (feat. Ty Dolla $ign)","Kehlani","Decent","mixed"
"69","Exchange","Bryson Tiller","Sad","mixed"
"70","Love Me Like (feat. DUCKWRTH)","Rayana Jay","Rainy Day","mixed"
"71","Losin Control","Russ","Depressing","negative"
"72","Saved","Khalid","Decent","positive"
"73","From Time","Drake","Depressing","mixed"
"74","Her","Majid Jordan","Happy","positive"
"75","You Can't Save Me","SiR","Decent","positive"
"76","Honesty","Pink Sweat$","Rainy Day","mixed"
"77","Missin You Crazy","Russ","Decent","positive"
"78","Bacc Seat (feat. Ty Dolla $ign)","Roddy Ricch","Happy","mixed"
"79","Blue Lights","Jorja Smith","Rainy Day","mixed"
"80","Sure Thing","Miguel","Slightly Happy","mixed"
"81","Streets","Doja Cat","Sad","mixed"
"82","Think About Me","dvsn","Happy","mixed"
"83","Take (feat. Ty Dolla $ign)","Arin Ray","Dance","mixed"
"84","Die For You","The Weeknd","Sad","negative"
"85","Thinkin Bout You","Frank Ocean","Rainy Day","mixed"
"86","Poison","Rod Wave","Simp","negative"
"87","Could've Been (feat. Bryson Tiller)","H.E.R.","Depressing","mixed"
"88","I Fall Apart","Post Malone","Sad","negative"
"89","Don't","Bryson Tiller","Decent","mixed"
"90","Doing It Wrong","Drake","Rainy Day","negative"
"91","Pretty Little Fears (feat. J. Cole)","6LACK","Cheerful","mixed"
"92","Easily","Bruno Major","Sad","negative"
"93","Beautiful People (feat. Khalid)","Ed Sheeran","Sad","mixed"
"94","I Just Can't Wait to Be King","JD McCrary","Decent","mixed"
"95","I Can't Let You Throw Yourself Away","Randy Newman","Rainy Day","mixed"
"96","Intentions (feat. Quavo)","Justin Bieber","Decent","positive"
"97","Up All Night","Khalid","Decent","positive"
"98","Tattoos Together","Lauv","Dance","positive"
"99","Unbelievable","Why Don't We","Decent","positive"
"100","Ready","Alessia Cara","Slightly Happy","mixed"
"101","Call You Mine","The Chainsmokers","Rainy Day","mixed"
"102","Never Seen The Rain","Tones And I","Slightly Sad","negative"
"103","Watermelon Sugar","Harry Styles","Dance","positive"
"104","What A Man Gotta Do","Jonas Brothers","Decent","mixed"
"105","Nobody","Martin Jensen","Depressing","negative"
"106","Nice To Meet Ya","Niall Horan","Neutral","positive"
"107","Midnight (feat. Liam Payne)","Alesso","Dance","neutral"
"108","Post Malone (feat. RANI)","Sam Feldt","Happiest","positive"
"109","Black And White","Niall Horan","Happy","positive"
"110","I Love You's","Hailee Steinfeld","Rainy Day","negative"
"111","Know Your Worth","Khalid","Simp","mixed"
"112","Lights Up","Harry Styles","Simp","negative"
"113","Never Really Over","Katy Perry","Simp","negative"
"114","Graveyard","Halsey","Rainy Day","negative"
"115","Takeaway","The Chainsmokers","Dance","mixed"
"116","Good as Hell (feat. Ariana Grande) - Remix","Lizzo","Happy","mixed"
"117","Memories","Maroon 5","Happy","positive"
"118","Free Spirit","Khalid","Happy","mixed"
"119","The Bones - with Hozier","Maren Morris","Decent","positive"
"120","Body Back (feat. Maia Wright)","Gryffin","Dance","mixed"
"121","Sixteen","Ellie Goulding","Cheerful","positive"
"122","What I Like About You (feat. Theresa Rex)","Jonas Blue","Rainy Day","negative"
"123","Sing It With Me","JP Cooper","Decent","mixed"
"124","Younger","Jonas Blue","Rainy Day","negative"
"125","Rescue Me","OneRepublic","Happy","mixed"
"126","No One Compares To You","Jack & Jack","Dance","mixed"
"127","Big Plans","Why Don't We","Happy","positive"
"128","Polaroid","Jonas Blue","Decent","positive"
"129","Family","The Chainsmokers","Rainy Day","negative"
"130","Only Human","Jonas Brothers","Sad","negative"
"131","In Betweenin'","AUSTN","Dance","mixed"
"132","Love You Better","Echosmith","Decent","mixed"
"133","Can We Pretend (feat. Cash Cash)","P!nk","Simp","mixed"
"134","Ooh Girl (feat. A Boogie Wit da Hoodie)","Kris Kross Amsterdam","Cheerful","positive"
"135","Small Talk","Niall Horan","Simp","negative"
"136","Higher Love","Kygo","Dance","mixed"
"137","Perfect to Me","Anne-Marie","Decent","positive"
"138","Let It Be Me (feat. Ava Max)","David Guetta","Cheerful","positive"
"139","GOOBA","6ix9ine","Sad","negative"
"140","Angels & Demons","​jxdn","Simp","negative"
"141","Sofia the First Main Title Theme","The Cast of Sofia the First","Happy","positive"
"142","Shawty in Love (Version 1)","Playboi Carti","Happy","mixed"
"143","Times We Had","Barlito","Rainy Day","mixed"
"144","ROCKSTAR","DaBaby","Slightly Happy","positive"
"145","Watermelon Sugar","Harry Styles","Decent","positive"
"146","​​death bed (coffee for your head)","Powfu","Sad","negative"
"147","Will","Joyner Lucas","Happy","positive"
"148","Say So","Doja Cat","Sad","mixed"
"149","One Margarita","Luke Bryan","Happy","positive"
"150","Blinding Lights","The Weeknd","Sad","negative"
"151","I Dare You","Kelly Clarkson","Sad","negative"
"152","Nobody But You (feat. Gwen Stefani)","Blake Shelton","Rainy Day","negative"
"153","ROCKSTAR (feat. Roddy Ricch)","DaBaby","Decent","positive"
"154","Daisies","Katy Perry","Sad","mixed"
"155","Stuck with U","Ariana Grande & Justin Bieber","Happy","mixed"
"156","Until We Meet Again","Nick Jonas","Decent","positive"
"157","Will (Remix)","Joyner Lucas & Will Smith","Depressing","mixed"
"158","Savage","Megan Thee Stallion","Rainy Day","negative"
"159","You Say","Lauren Daigle","Rainy Day","mixed"
"160","Intentions (feat. Quavo)","Justin Bieber","Happy","positive"
"161","Roses (Imanbek Remix)","SAINt JHN","Rainy Day","negative"
"162","Somewhere Over the Rainbow / What a Wonderful World","Israel Kamakawiwo'ole","Happy","positive"
"163","Hard to Forget","Sam Hunt","Sad","mixed"
"164","Angels & Demons","jxdn","Rainy Day","negative"
"165","Somewhere Over the Rainbow","Israel Kamakawiwo'ole","Rainy Day","negative"
"166","Six Feet Apart","Luke Combs","Cheerful","positive"
"167","Sunday Best","Surfaces","Happy","positive"
"168","Memories","Maroon 5","Happy","positive"
"169","Dance Monkey","Tones And I","Sad","negative"
"170","Rise Up","Andra Day","Rainy Day","negative"
"171","Chasin' You","Morgan Wallen","Sad","negative"
"172","So Will I","Ben Platt","Depressing","mixed"
"173","All Night","Brothers Osborne","Decent","positive"
"174","Count On Me","Bruno Mars","Decent","positive"
"175","Adore You","Harry Styles","Dance","mixed"
"176","The Bones","Maren Morris","Happy","positive"
"177","Bluebird","Miranda Lambert","Happy","positive"
"178","Bloody Valentine","Machine Gun Kelly","Rainy Day","negative"
"179","Does To Me (feat. Eric Church)","Luke Combs","Depressing","negative"
"180","Don't Start Now","Dua Lipa","Depressing","negative"
"181","Be a Light (feat. Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban)","Thomas Rhett","Sad","negative"
"182","Cornelia Street (Live From Paris)","Taylor Swift","Simp","negative"
"183","You've Got a Friend In Me","Randy Newman","Decent","positive"
"184","Beer Can't Fix (feat. Jon Pardi)","Thomas Rhett","Simp","negative"
"185","Before You Go","Lewis Capaldi","Rainy Day","mixed"
"186","Toosie Slide","Drake","Sad","negative"
"187","death bed (feat. beabadoobee) [coffee for your head]","Powfu","Sad","negative"
"188","Circles","Post Malone","Dance","mixed"
"189","I Hope","Gabby Barrett","Dance","positive"
"190","My Wish","Rascal Flatts","Happy","positive"
"191","everything i wanted","Billie Eilish","Dance","positive"
"192","Tennessee Whiskey","Chris Stapleton","Happy","positive"
"193","I Hope You’re Happy Now","Carly Pearce & Lee Brice","Dance","positive"
"194","The Box","Roddy Ricch","Rainy Day","negative"
"195","Be Kind","Marshmello & Halsey","Rainy Day","negative"
"196","Do It","Chloe x Halle","Happy","positive"
"197","All of Me","John Legend","Happy","mixed"
"198","Got What I Got","Jason Aldean","Slightly Sad","mixed"
"199","Limitless","Bon Jovi","Happy","positive"
"200","Level of Concern","twenty one pilots","Sad","mixed"
"201","Break My Heart","Dua Lipa","Decent","mixed"
"202","Have It All","Jason Mraz","Happy","mixed"
"203","TOGETHER","for KING & COUNTRY, Tori Kelly & Kirk Franklin","Happy","mixed"
"204","Lady","Brett Young","Happy","positive"
"205","On Me (feat. Ava Max)","Thomas Rhett & Kane Brown","Dance","positive"
"206","Ride It","Regard","Slightly Sad","negative"
"207","Bang!","AJR","Decent","mixed"
"208","Shallow","Lady Gaga & Bradley Cooper","Dance","mixed"
"209","CAN'T STOP THE FEELING!","Justin Timberlake","Happy","positive"
"210","Death By A Thousand Cuts (Live From Paris)","Taylor Swift","Sad","mixed"
"211","If the World Was Ending (feat. Julia Michaels)","JP Saxe & Julia Michaels","Rainy Day","mixed"
"212","The Blessing (Live)","Kari Jobe, Cody Carnes & Elevation Worship","Decent","positive"
"213","One of Them Girls","Lee Brice","Rainy Day","negative"
"214","Daylight (Live From Paris)","Taylor Swift","Dance","positive"
"215","God Whispered Your Name","Keith Urban","Happy","positive"
"216","Summer Feelings (feat. Charlie Puth)","Lennon Stella","Happy","positive"
"217","Five More Minutes","Jonas Brothers","Sad","negative"
"218","Why We Drink","Justin Moore","Happy","positive"
"219","Young & Sad","Noah Cyrus","Depressing","mixed"
"220","Surrender","Natalie Taylor","Dance","positive"
"221","I Can Only Imagine","MercyMe","Dance","positive"
"222","Try Everything","Shakira","Rainy Day","negative"
"223","Only Human","Jonas Brothers","Simp","negative"
"224","What a Man Gotta Do","Jonas Brothers","Decent","mixed"
"225","Stuck With U","Ariana Grande & Justin Bieber","Cheerful","mixed"
"226","Gooba","6ix9ine","Depressing","negative"
"227","Savage","Megan Thee Stallion Featuring Beyonce","Rainy Day","mixed"
"228","Rockstar","DaBaby Featuring Roddy Ricch","Happy","positive"
"229","Intentions","Justin Bieber Featuring Quavo","Happy","positive"
"230","Life Is Good","Future Featuring Drake","Sad","mixed"
"231","The Scotts","THE SCOTTS, Travis Scott & Kid Cudi","Decent","positive"
"232","My Oh My","Camila Cabello Featuring DaBaby","Happy","positive"
"233","Someone You Loved","Lewis Capaldi","Happy","positive"
"234","Everything I Wanted","Billie Eilish","Cheerful","positive"
"235","Blueberry Faygo","Lil Mosey","Rainy Day","negative"
"236","Falling","Trevor Daniel","Decent","positive"
"237","High Fashion","Roddy Ricch Featuring Mustard","Sad","mixed"
"238","Death Bed","Powfu Featuring beabadoobee","Rainy Day","negative"
"239","Does To Me","Luke Combs Featuring Eric Church","Simp","negative"
"240","Whats Poppin","Jack Harlow","Rainy Day","negative"
"241","I Hope You're Happy Now","Carly Pearce & Lee Brice","Cheerful","positive"
"242","Hot Girl Bummer","blackbear","Sad","negative"
"243","Beer Can't Fix","Thomas Rhett Featuring Jon Pardi","Rainy Day","negative"
"244","After A Few","Travis Denning","Depressing","negative"
"245","Supalonely","BENEE Featuring Gus Dapperton","Rainy Day","negative"
"246","Heart On Ice","Rod Wave","Rainy Day","negative"
"247","Ballin'","Mustard & Roddy Ricch","Simp","mixed"
"248","3 Headed Goat","Lil Durk Featuring Lil Baby & Polo G","Rainy Day","negative"
"249","Hard To Forget","Sam Hunt","Rainy Day","mixed"
