Title,Artist,"""Title"" by The Artist:
    Lyrics"
Stuck With U,Ariana Grande & Justin Bieber,"""Stuck with U"" by Ariana Grande & Justin Bieber:
    [Intro: Ariana Grande]
    Mmm
    Hey, yeah
    (That's just for fun)
    (What?)
    (I'm stuck with you)
    Ah
    
    [Verse 1..."
Say So,Doja Cat Featuring Nicki Minaj,"""Doja Cat - Say So (Remix) ft. Nicki Minaj (Traducción al Español)"" by Genius Traducciones al Español:
    [Letra de ""Doja Cat - Say So (Remix) ft. Nicki Minaj (Traducción al Español)""]
    
    [Intro: Nicki Minaj]..."
Gooba,6ix9ine,"""GOOBA"" by 6ix9ine:
    [Chorus]
    I tell a nigga don't dick ride, don't blick ride
    Leave it to the double thick thighs, twin ..."
Blinding Lights,The Weeknd,"""Blinding Lights"" by The Weeknd:
    [Intro]
    Yeah
    
    [Verse 1]
    I've been tryna call
    I've been on my own for long enough
    Maybe you can show ..."
Savage,Megan Thee Stallion Featuring Beyonce,"""Savage (StarFox Remix)"" by Megan Thee Stallion & Beyoncé:
    [Intro: Megan The Stallion]
    I'm that bitch (Yeah)
    Been that bitch, still that bitch (Ah)
    Will foreve..."
Toosie Slide,Drake,"""Toosie Slide"" by Drake:
    [Pre-Chorus]
    Black leather glove, no sequins
    Buckles on the jacket, it's Alyx shit
    Nike crossbody, g..."
The Box,Roddy Ricch,"""The Box"" by Roddy Ricch:
    [Chorus]
    Pullin' out the coupe at the lot
    Told 'em fuck 12, fuck SWAT
    Bustin' all the bells out the ..."
Rockstar,DaBaby Featuring Roddy Ricch,"""DaBaby - Rockstar ft. Roddy Ricch (RnB/Pop/Electro Remix)"" by GALLO:
    [Intro: DaBaby]
    Woo, woo
    I pull up (pull up)
    Like
    How you pull up, Baby? How you pull up? (Oh, oh, o..."
Don't Start Now,Dua Lipa,"""Don’t Start Now"" by Dua Lipa:
    [Intro]
    If you don't wanna see me
    
    [Verse 1]
    Did a full 180, crazy
    Thinking 'bout the way I was
    Did ..."
Circles,Post Malone,"""Circles"" by Post Malone:
    [Intro]
    Oh, oh, oh
    Oh,  oh, oh
    Oh,  oh, oh, oh, oh
    
    [Verse 1]
    We couldn't turn around 'til we were u..."
Intentions,Justin Bieber Featuring Quavo,"""Intentions"" by Justin bieber and quavo:
    He's perfect, perfect he dont need no filter
    Flawless never had to sin to be a leader
    Showers us wit..."
Adore You,Harry Styles,"""Adore You"" by Harry Styles:
    [Verse 1: Harry Styles]
    Walk in your rainbow paradise (Paradise)
    Strawberry lipstick state of mind (..."
Life Is Good,Future Featuring Drake,"""Life Is Good"" by Future:
    [Part I]
    
    [Chorus: Drake]
    Workin' on a weekend like usual
    Way off in the deep end like usual
    Niggas ..."
The Bones,Maren Morris,"""The Bones"" by Maren Morris:
    [Verse 1]
    We're in the homestretch of the hard times
    We took a hard left, but we're alright
    Yeah, li..."
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi","""THE SCOTTS"" by THE SCOTTS:
    [Intro: Travis Scott]
    Let's go
    
    [Verse 1: Travis Scott & Kid Cudi]
    We see the hype outside (Yeah)
    Ri..."
Roses (Imanbek Remix),SAINt JHN,"""Roses (Imanbek Remix)"" by SAINt JHN:
    [Verse 1]
    Roses
    I walked in the corner with the body screaming dolo
    Never sold a bag but look like P..."
My Oh My,Camila Cabello Featuring DaBaby,"""My Oh My"" by Camila Cabello:
    [Chorus: Camila Cabello]
    They say he likes a good time (My oh my)
    He comes alive at midnight (Every ..."
Someone You Loved,Lewis Capaldi,"""Someone You Loved"" by Lewis Capaldi:
    [Verse 1]
    I'm going under, and this time, I fear there's no one to save me
    This all or nothing reall..."
Everything I Wanted,Billie Eilish,"""​everything i wanted"" by Billie Eilish:
    [Verse 1]
    I had a dream
    I got everything I wanted
    Not what you'd think
    And if I'm bein' honest
    It mi..."
Blueberry Faygo,Lil Mosey,"""Blueberry Faygo"" by Lil Mosey:
    [Intro]
    Damn, Callan (Damn, Callan)
    
    [Chorus]
    One bad bitch and she do what I say so (Yeah)
    Two big ..."
Chasin' You,Morgan Wallen,"""Chasin’ You"" by Morgan Wallen:
    [Verse 1]
    We used to chase that Chattanooga freight
    Couple of kids in a Chevrolet
    Catch a little air..."
Falling,Trevor Daniel,"""Falling"" by Trevor Daniel:
    [Intro]
    Oh
    Ooh, ooh
    
    [Chorus]
    My last made me feel like I would never try again
    But when I saw you, ..."
I Hope,Gabby Barrett,"""I Hope"" by Gabby Barrett:
    [Verse 1]
    I, I hope she makes you smile
    The way you made me smile on the other end of a phone
    In the..."
Memories,Maroon 5,"""Memories"" by Maroon 5:
    [Chorus]
    Here's to the ones that we got
    Cheers to the wish you were here, but you're not
    'Cause the ..."
Nobody But You,Blake Shelton Duet With Gwen Stefani,"""New Music Friday 12/13/19"" by Spotify:
    Harry Styles - Treat People With Kindness
    Alec Benjamin - Mind Is A Prison
    Lil Uzi Vert - Futsal Shu..."
High Fashion,Roddy Ricch Featuring Mustard,"""High Fashion"" by Roddy Ricch:
    [Intro]
    Mustard on the beat, ho
    
    [Chorus]
    Shawty made that ass clap, she don't need no applause
    High..."
Death Bed,Powfu Featuring beabadoobee,"""​​death bed (coffee for your head)"" by Powfu:
    [Intro: beabadoobee]
    Don't stay awake for too long, don't go to bed
    I'll make a cup of coffee for yo..."
Does To Me,Luke Combs Featuring Eric Church,"""Does To Me"" by Luke Combs:
    [Verse 1: Luke Combs]
    I was a third-string dreamer on a second-place team
    But I was hell on wheels w..."
Sunday Best,Surfaces,"""Sunday Best"" by Surfaces:
    [Intro: Forrest]
    Good, feeling good
    
    [Chorus: Forrest]
    Ayy, feeling good, like I should
    Went and too..."
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"""October 2019 Singles Release Calendar"" by Genius:
    10/1
    Ant Clemons - ""4 Letter Word"" ft. Timbaland
    Charlie Puth - ""Cheating On You""
    Danny Brown - ""3 T..."
Break My Heart,Dua Lipa,"""Break My Heart"" by Dua Lipa:
    [Verse 1]
    I've always been the one to say the first goodbye
    Had to love and lose a hundred million t..."
Whats Poppin,Jack Harlow,"""WHATS POPPIN"" by Jack Harlow:
    [Chorus]
    What's poppin'? (Pooh, you a fool for this one)
    Brand new whip just hopped in (Just hopped ..."
Be Kind,Marshmello & Halsey,"""Be Kind"" by Marshmello & Halsey:
    [Verse 1: Halsey]
    Wanna believe, wanna believe
    That you don't have a bad bone in your body
    But the b..."
I Hope You're Happy Now,Carly Pearce & Lee Brice,"""I Hope You’re Happy Now"" by Carly Pearce & Lee Brice:
    [Verse 1: Carly Pearce with Lee Brice]
    It's all on me, it's my mistake
    I said ""I don't love you"" a l..."
Hot Girl Bummer,blackbear,"""Hot Girl Bummer"" by Blackbear & DROXXX:
    BLACKBEAR:
    Fuck you, and you and you
    I hate your friends and they hate me too
    I am through, I am thr..."
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,"""Beer Can’t Fix"" by Thomas Rhett:
    [Verse 1: Thomas Rhett]
    You're all alone at a party, you wanna dance with somebody
    But you ain't got..."
Before You Go,Lewis Capaldi,"""Before You Go"" by Lewis Capaldi:
    [Verse 1]
    I fell by the wayside like everyone else
    I hate you, I hate you, I hate you but I was just..."
After A Few,Travis Denning,"""After a Few"" by Travis Denning:
    [Verse 1]
    I probably shouldn't have said hello
    When I saw you out with your friends
    I know I should'..."
Supalonely,BENEE Featuring Gus Dapperton,"""Supalonely"" by BENEE:
    [Chorus: BENEE]
    I know I fucked up, I'm just a loser
    Shouldn't be with ya, guess I'm a quitter
    While..."
Heart On Ice,Rod Wave,"""Heart on Ice"" by Rod Wave:
    [Intro]
    SpeakerBangerz
    Look, uh, look
    
    [Chorus]
    Heart been broke so many times I don't know what to ..."
Ballin',Mustard & Roddy Ricch,"""Ballin’"" by Mustard & Roddy Ricch:
    [Intro]
    I don't really wanna go
    I don't really wanna stay
    But I really hope and pray
    Can we get it t..."
Dance Monkey,Tones And I,"""Dance Monkey"" by Tones and I:
    [Verse 1]
    They say, ""Oh my God, I see the way you shine
    Take your hands, my dear, and place them bot..."
3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,"""3 Headed Goat"" by Lil Durk:
    [Intro]
    (Aviator)
    
    [Chorus: Lil Baby]
    These ain't no Guess jeans
    I dropped out of school, I'm still ..."
Hard To Forget,Sam Hunt,"""Hard to Forget"" by Sam Hunt:
    [Intro]
    There stands the glass
    That will ease all my pain
    That will settle my brain
    It's my first on..."
Sum 2 Prove,Lil Baby,"""Sum 2 Prove"" by Lil Baby:
    [Verse 1]
    You know Lil Ced, that's my nigga, I made him a millionaire, fuck it, we all rich
    I ain't ..."
Chicago Freestyle,Drake Featuring Giveon,"""Chicago Freestyle"" by Drake:
    [Chorus: Giveon]
    Two-thirty, baby, won't you meet me by The Bean?
    Too early, maybe later you can sho..."
Level Of Concern,twenty one pilots,"""Level of Concern"" by ​twenty one pilots:
    [Intro]
    Need you, tell me
    Need you, tell me
    
    [Verse 1]
    Panic on the brain, world has gone insane
    Thi..."
Party Girl,StaySolidRocky,"""Party Girl"" by StaySolidRocky:
    [Intro]
    Girls just wanna have fun
    So they party, so they party
    (Ayy, yo, Nashi, you goin' crazy)
    
    [C..."
Righteous,Juice WRLD,"""Righteous"" by Juice WRLD:
    [Intro]
    I will (Will)
    I will (I will)
    I will
    Oh-ooh (Oh-ooh)
    Uh (Uh)
    
    [Chorus]
    All white Gucci suit,..."
Can I,Kehlani Featuring Tory Lanez,"""Can I"" by Kehlani:
    [Verse 1: Kehlani]
    This shit's so good, should be illegal
    Need round two, I need a sequel
    Hit the ba..."
Pain 1993,Drake Featuring Playboi Carti,"""Drake - Pain 1993 ft. Playboi Carti (Русский перевод)"" by Genius Russian Translations:
    [Перевод песни Drake - Pain 1993 ft. Playboi Carti]
    
    [Интро: Drake]
    (Yo, Pi'erre, yo, Pi’erre)
    Эй
    
    [..."
Walk Em Down,NLE Choppa Featuring Roddy Ricch,"""Walk Em Down"" by NLE Choppa:
    [Intro: NLE Choppa]
    (CashMoneyAP)
    Ooh, ooh, no, no
    NLE the Top Shotta
    
    [Chorus: NLE Choppa]
    Uh, post..."
Dior,Pop Smoke,"""Dior"" by Pop Smoke:
    [Intro]
    Traphouse Mob
    Huh,  roll another one
    Said  I'm never lackin', always pistol packing
    With the..."
In Your Eyes,The Weeknd,"""In Your Eyes"" by The Weeknd:
    [Verse 1]
    I just pretend that I'm in the dark
    I don't regret 'cause my heart can't take a loss
    I'd r..."
We Paid,Lil Baby & 42 Dugg,"""We Paid"" by Lil Baby & 42 Dugg:
    [Intro: 42 Dugg]
    Can't be fucked with
    Ayy, 4 Pockets, huh
    (Section 8 just straight cooked this mothe..."
Emotionally Scarred,Lil Baby,"""Emotionally Scarred"" by Lil Baby:
    [Verse 1]
    A love letter came through the mail, it said, ""I miss you""
    I ripped it up and flushed with..."
Bluebird,Miranda Lambert,"""Bluebird"" by Miranda Lambert:
    [Intro]
    Ooh
    Ooh 
    
    [Verse 1]
    Yeah,  I'm a turner
    I turn pages all the time
    Don't like where I'm at
    34..."
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,
Here And Now,Kenny Chesney,"""Here and Now"" by Kenny Chesney:
    [Verse 1]
    Seen the skyline of New York City
    Fireflies in Tennessee
    Sipped a little shine from a pape..."
Turks,"NAV, Gunna & Travis Scott","""Turks"" by NAV & Gunna:
    [Intro: Future]
    (Wheezy outta here)
    
    [Verse 1: NAV]
    I'm a late bloomer, third year on the scene
    Twen..."
