GOOBA,6ix9ine,"""GOOBA"" by 6ix9ine:
    [Chorus]
    I tell a nigga don't dick ride, don't blick ride
    Leave it to the double thick thighs, twin ..."
Angels & Demons,​jxdn,"""Angels & Demons"" by ​jxdn:
    [Verse 1]
    Two face, two face, yeah
    Black, white, left, right, yeah
    Up, down, all night, yeah
    Can't e..."
Sofia the First Main Title Theme,The Cast of Sofia the First,"""Sofia the First Main Title Theme"" by The Cast of Sofia the First:
    [Verse]
    I was a girl in the village doing alright
    Then I became a princess overnight
    Now I gotta fig..."
Shawty in Love (Version 1),Playboi Carti,"""Shawty in Love (Version 1)"" by Playboi Carti:
    [Intro: Lala Baptiste & Playboi Carti]
    What are you talking about? (I'm tired)
    I do want to go but I..."
Times We Had,Barlito,"""Times We Had"" by Barlito:
    [Chorus: Barlito]
    Remember the times we had
    The times that you and me had
    Remember the times we had
    ..."
ROCKSTAR,DaBaby,"""ROCKSTAR"" by DaBaby:
    [Intro: DaBaby]
    Woo, woo
    I pull up like
    How you pull up, Baby? How you pull up? (Oh, oh, oh)
    How you..."
Watermelon Sugar,Harry Styles,"""Watermelon Sugar"" by Harry Styles:
    [Verse 1]
    Tastes like strawberries on a summer evenin'
    And it sounds just like a song
    I want more be..."
​​death bed (coffee for your head),Powfu,"""​​death bed (coffee for your head)"" by Powfu:
    [Intro: beabadoobee]
    Don't stay awake for too long, don't go to bed
    I'll make a cup of coffee for yo..."
Will,Joyner Lucas,"""Will"" by Joyner Lucas:
    [Intro]
    Hey
    Will
    Yeah
    
    [Chorus]
    I'm feelin' like Will (Hey), I think I'm a prince, I'm feelin' mysel..."
Say So,Doja Cat,"""Say So"" by Doja Cat:
    [Chorus]
    Day to night to morning, keep with me in the moment
    I'd let you had I known it, why don't y..."
