Sunday Best,Surfaces,"[Intro: Forrest]
Good, feeling good

[Chorus: Forrest]
Ayy, feeling good, like I should
Went and took a walk around the neighborhood
Feeling blessed, never stressed
Got that sunshine on my Sunday best (Yeah, ayy, ayy)

[Verse 1: Forrest]
Every day can be a better day, despite the challenge
All you gotta do is leave it better than you found it
It's gonna get difficult to stand, but hold your balance
I just say whatever 'cause there is no way around it 'cause

[Pre-Chorus: Forrest]
Everyone falls down sometimes
But you just gotta know it'll all be fine
It's okay, uh-huh-huh, uh
It's okay, it's okay

[Chorus: Forrest]
Ayy, feeling good like I should
Went and took a walk around the neighborhood
Feeling blessed, never stressed
Got that sunshine on my Sunday best (Ayy)

[Verse 2: Forrest]
Some days you wake up and nothing works, you feel surrounded
Gotta give your feet some gravity to get you grounded
Keep good things inside your ears just like the waves and sound did
And just say whatever 'cause there is no way around it

[Pre-Chorus: Forrest]
Everyone falls down sometimes
But you just gotta know it'll all be fine
It's okay, uh-huh-huh, uh
It's okay, it's okay

[Chorus: Forrest]
Ayy, feeling good, like I should
Went and took a walk around the neighborhood
Feeling blessed, never stressed
Got that sunshine on my Sunday best
Ayy, feeling good, like I should
Went and took a walk around the neighborhood
Feeling blessed, never stressed
Got that sunshine on my Sunday best",Title,Artist,Lyrics
Dollar,Electric Guest,"[Verse 1]
Ooh
You think I'm nothin' but another fool
I'm better
I'm better than you
I'm like ooh
I can feel it from across the room
Whatever
Whatever I do

[Pre-Chorus]
I'm like, this mothafucka might sue me
And that mothafucka might boo me
I'ma keep on goin' to a better day
All this other bitterness can fade away
It doesn't matter I'm ugly
Keep tellin' me I don't love me
Nothin' in my pocket, but I'm still okay
All I really know is how I feel today

[Chorus]
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
So turn the music up and get it poppin'
I'm tryna have some fun 'fore I die slow
So all that really matters is tonight

[Verse 2]
Oh
When they play me on the radio
No manners
No manners at all
I'm like oh
If you're feelin' nothin, let me know
Don't matter
It don't matter, I know

[Pre-Chorus]
'Cause these days, this mothafucka might kill ya
You act too nice, they won't feel you
Lookin' all around me, but I can't relate
Every day, I'm tryna find a new escape
Everybody's a model
You watch too much, you feel hollow
Nothin' in my pocket, but I'm still okay
All I really know is how I feel today

[Chorus]
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
So turn the music up and get it poppin'
I'm tryna have some fun 'fore I die slow
So all that really matters is tonight

[Bridge]
Ooh, tonight
I got a feeling for the first time in my life
Ooh, it's a celebration
Thought I would die before I ever felt alright
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
And even if I never make a profit
I wanna have some fun 'fore my eyes close
So all that really matters is tonight

[Chorus]
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
So turn the music up and get it poppin'
I'm tryna have some fun 'fore I die slow
So all that really matters is tonight

[Outro]
Ooh, I got a dollar in my pocket
I see you and I really wanna rock it
I'm tryna have some fun at the sideshow
'Cause all that really matters is tonight, so...
Ooh, I got a dollar in my pocket
And even if I never make a profit
I wanna have some fun 'fore my eyes close
So all that really matters is tonight",,,
OK,Wallows,"[Verse 1: Dylan Minnette]
I know you so well
You know that I can tell the slightest difference in your facial expression
Don't tell me nothing's on your mind
If we're honest, it will all be fine
I'm someone who likes to talk things through
The hardest thing is getting it out of you
I should sit back and give you a break
Let you close your perfect eyes

[Chorus: Dylan Minnette]
'Cause there's no need to explain
I know what you want to say (Ooh)
We could just say, ""Goodnight"", if you think that's alright
There's no need to explain
I know that we can relate
Can we get up and try to feel okay again?
Okay

[Verse 2: Dylan Minnette]
I'm getting too close
You say you love me most
It's hard to trust it even though I want to
Need to get this shit out of my head
Before I flip this on myself instead
Please come over here
Lay your head right down
Don't make a sound
I hear you loud and clear

[Chorus: Dylan Minnette]
There's no need to explain
I know what you want to say
We could just say, ""Goodnight"", if you think that's alright
There's no need to explain
I know that we can relate
Can we get up and try to feel okay again?
Can we get up and try to feel okay again?
Okay

[Bridge: Dylan Minnette]
If we know we love each other, what's the concern?
Found with or without separation is what I've learned
I'd wait for an hour, or I'd wait for a year
Is your opinion on it something I want to hear?
I know you never lie, but I self-sabotage
I know your love isn't just a mirage
But I tend to panic if I can't reach out and grab it
I need to get out all these bad habits

[Chorus: Dylan Minnette]
There's no need to explain
I know what you wanna say
'Cause you say, ""Goodnight""
If you think that's alright
There's no need to explain
I know that we can relate
Can we get up and try to feel okay again?
Can we get up and try to feel okay again? (Hey)

[Outro: Dylan Minnette]
We can get up and try to feel okay again
We can get up and try to feel okay again
Okay",,,
Moon (And It Went Like),Kid Francescoli,,,,
Supalonely,BENEE,"[Chorus: BENEE]
I know I fucked up, I'm just a loser
Shouldn't be with ya, guess I'm a quitter
While you're out there drinkin', I'm just here thinkin'
'Bout where I should've been
I've been lonely, mmh, ah, yeah

[Verse 1: BENEE]
Water pouring down from the ceiling
I knew this would happen, still hard to believe it
Maybe I'm dramatic, I don't wanna seem it
I don't wanna panic

[Pre-Chorus: BENEE]
I'm a sad girl in this big world, it's a mad world
All of my friends know what's happened, you're a bad thing (Ah)

[Chorus: BENEE]
I know I fucked up, I'm just a loser
Shouldn't be with ya, guess I'm a quitter
While you're out there drinkin', I'm just here thinkin'
'Bout where I should've been
I've been lonely, mmh, ah, yeah

[Post-Chorus: BENEE]
La-la-la-la, la-la-la-la
Lonely (I'm a lonely bitch)
La-la-la-la, la-la-la-la
Lonely (Super lonely)

[Verse 2: BENEE & Gus Dapperton]
Now I'm in the bathtub cryin'
Think I'm slowly sinking
Bubbles in my eyes now
Maybe I'm just dreamin'
Now I'm in the sad club
Just tryna get a back rub (Lonely)

[Pre-Chorus: BENEE with Gus Dapperton]
I'm a sad girl in this big world, it's a mad world
All of my friends know what's happened, you're a bad thing

[Chorus: BENEE]
I know I fucked up (Fucked up), I'm just a loser (Loser)
Shouldn't be with ya (With ya), guess I'm a quitter (Quitter)
While you're out there drinkin' (Drinkin'), I'm just here thinkin' (Thinkin')
'Bout where I should've been (Where I should've been)
I've been lonely, mmh, ah, yeah (Woah)

[Post-Chorus: BENEE]
La-la-la-la (Woo), la-la-la-la
Lonely (I'm a lonely bitch)
La-la-la-la, la-la-la-la
Lonely (Super lonely)

[Bridge: Gus Dapperton]
I loathe romancing in itself, yeah, I'd be damned to try
I'm only dancin' by myself, so I don't slam my Irish buck
Compostable cups, B-B-BENEE, I can't stress this enough
I would hate to mess things up, but my boogie still stays restless as fuck, yeah

[Chorus: BENEE & Gus Dapperton, BENEE]
I know I fucked up, I'm just a loser
Shouldn't be with ya, guess I'm a quitter
While you're out there drinkin', I'm just here thinkin'
'Bout where I should've been
I've been lonely, mmh, ah, yeah

[Post-Chorus: BENEE]
La-la-la-la, la-la-la-la
Lonely (I'm a lonely bitch)
La-la-la-la, la-la-la-la
Lonely (Super lonely)

[Outro: BENEE]
La-la-la-la, la-la-la-la (I've been lonely, I've been lonely)
Lonely (I've been lonely, by the way)
La-la-la-la, la-la-la-la
Lonely (I've been lonely)",,,
Honeypie,JAWNY,"[Chorus]
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie

[Verse 1]
Ooh, girl, don't you stop
Tell your mom, girl, and I won't stop it until you're mine, girl
And you can't stop that until your mine, girl
And I can't find out what you want, what you got
I got that honey-pie, come bite it
Bring your own fork, girl, you know I don't provide it

[Chorus]
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie

[Post-Chorus]
Oh, honey, honey-pie, honey, honey, honey-pie
Oh, honey, honey-pie, honey, honey, honey-pie

[Verse 2]
Ooh, girl, don't you stop
Tell your mom, girl, and I won't stop it until you're mine, girl
And you can't stop that until your mine, girl
And I can't find out what you want
Tell your mom, girl, and I won't stop it until you're mine, girl
And you can't stop that until your mine, girl (Ha!)

[Chorus]
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie

[Outro]
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
(Tell your mom, girl, and I won't stop it until you're mine, girl
And you can't stop that until your mine, girl)
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
(And I can't find out what you want, what you got
I got that honey-pie, come bite it)",,,
Little Things (with Quinn XCII & Chelsea Cutler),Louis The Child,,,,
For a Minute,WizTheMc,"[Chorus]
You want my love
I want your heart
Just for a minute
Come by and let me fill it
Cause
You want my love
I want your heart
Just for a minute
Come by
And let me finish
On you

[Verse 1]
Summertimes dry
I need some to get around
You don’t need to fall in love
Baby I just be your drug
All your friends already gone
You just looking for someone
And nobody looking back
Baby I could be your one

I could be your one
Just for a night
Maybe a week
But I don’t wanna stay too long
Cause then you’ll see all my weaknesses
I keep distance
To everyone I see
Is it me or you
But something making me feel brand new
Ooohoo
Feeling brand new
Ooooh
Feeling brand new
Oooohh
But it still feel like

[Chorus]
You want my love
I want your heart
Just for a minute
Come by and let me fill it
Cause
You want my love
I want your heart
Just for a minute
Come by
And let me finish
On you

You want my love
I want your heart
Just for a minute
Come by and let me fill it
Cause
You want my love
I want your heart
Just for a minute
Come by
And let me finish
On you",,,
Chemicals,SG Lewis,"[Verse 1]
She knows, she knows what she's done
And finally, I’m fallin' under
And she might never give me a way out
So it seems
I'm comin’ up so hard, don't leave me
So my eyes don't roll away
'Cause I feel like my dreams have always been about you now

[Chorus]
But if you stay
We could always blame it on the chemicals
I might be seein' double but I need you both
Might be seein' double but I need you both
But if you stay
We can keep it goin' 'til the mornin’ sun
I might be seein’ double but you're still the one
I might be seein’ double but you're still the one
If you stay
If you stay

[Verse 2]
Think I took a bit too much
Eyes a wider lens
And I see it all so much clearer now, this time
Do you feel like I do?
Do you still feel it too?
I'm glad you put your poison in my cup
And never asked

[Chorus]
If you stay
If you stay
If you stay
We could always blame it on the chemicals
I might be seein' double but I need you both
Might be seein’ double but I need you both
But if you stay
We can keep it goin' 'til the mornin' sun
I might be seein' double but you're still the one
I might be seein' double but you're still the one
If you stay
If you stay
We could always blame it on the chemicals
If you stay
I might be seein' double but I need you both",,,
Floating (feat. Khalid) [filous Remix],Alina Baraz,"[Verse 1: Alina Baraz]
It's in the way you see
You know what I need
It's in the way that you're holding me, bringing me close
You know that I won't let go
You've got me on repeat (Repeat)
You've got me in a dream (A dream)
I let my worries go soon as you come through the door
Thinking 'bout what it'd be like to be yours

[Chorus: Alina Baraz & Khalid]
2am, and I'm still breathing
Staring at my thoughts floating up to the ceiling
I'm swimming in everything you said
I'm thinking 'bout jumping in instead
I've got you skinny dipping deep inside my head

[Verse 2: Khalid]
It's in the way you touch me
I don't know much about love
But I'll keep on checking my phone to see when you're home
Or when you want me to pull up
We're one in the same
You got me caught in a daze
I love it when you say my name real slow
All my love is yours

[Chorus: Both & (Khalid)]
I'm swimming in everything you said
I'm thinking 'bout jumping in instead
I've got you skinny dipping deep inside my head
I'm swimming in everything you said
I'm thinking 'bout jumping in instead
I've got you skinny dipping deep inside my head
(Inside my head)

[Bridge: Both & (Alina Baraz)]
Every time you move
You're looking like you're dancing
I think that you could have it
(Ooh-ooh)
Everything you do
I want to do it with you
Don't ever want to miss you
(2am, and I'm still breathing)
(Staring at my thoughts floating up to the ceiling)

[Chorus: Both & (Khalid)]
I'm swimming in everything you said
I'm thinking 'bout jumping in instead
I've got you skinny dipping deep inside my head
I'm swimming in everything you said
I'm thinking 'bout jumping in instead
I've got you skinny dipping deep inside my head
(Inside my head)

[Outro: Alina Baraz]
With you
You do, you do, you do
You do, you do, you do, you do",,,
