Title,Artist
Long Way Home (The Voice Performance),Todd Tilghman
Second Guessing (From Songland),Florida Georgia Line
X (feat. KAROL G),Jonas Brothers
One Margarita,Luke Bryan
Blinding Lights,The Weeknd
I Dare You,Kelly Clarkson
Champagne Night (From Songland),Lady Antebellum
Authority Song (The Voice Performance),Todd Tilghman & Blake Shelton
Nobody But You (feat. Gwen Stefani),Blake Shelton
ROCKSTAR (feat. Roddy Ricch),DaBaby
Savage Remix (feat. Beyoncé),Megan Thee Stallion
Daisies,Katy Perry
Stuck with U,Ariana Grande & Justin Bieber
Until We Meet Again,Nick Jonas
Will (Remix),Joyner Lucas & Will Smith
Savage,Megan Thee Stallion
Rise Up (Performance Version),Just Sam
My Superhero (The Voice Performance),Toneisha Harris
You Say,Lauren Daigle
Intentions (feat. Quavo),Justin Bieber
Roses (Imanbek Remix),SAINt JHN
Sedona (The Voice Performance),Thunderstorm Artis
Somewhere Over the Rainbow / What a Wonderful World,Israel Kamakawiwo'ole
Hard to Forget,Sam Hunt
Angels & Demons,jxdn
Somewhere Over the Rainbow,Israel Kamakawiwo'ole
Six Feet Apart,Luke Combs
Sunday Best,Surfaces
Memories,Maroon 5
Dance Monkey,Tones And I
Save It For Tomorrow (The Voice Performance),Cammwess
Rise Up,Andra Day
Chasin' You,Morgan Wallen
So Will I,Ben Platt
You'll Be In My Heart (The Voice Performance),Thunderstorm Artis & Nick Jonas
All Night,Brothers Osborne
Count On Me,Bruno Mars
Adore You,Harry Styles
The Bones,Maren Morris
Bluebird,Miranda Lambert
Bloody Valentine,Machine Gun Kelly
GOOBA,6ix9ine
Does To Me (feat. Eric Church),Luke Combs
Don't Start Now,Dua Lipa
"Be a Light (feat. Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban)",Thomas Rhett
Cornelia Street (Live From Paris),Taylor Swift
Say So,Doja Cat
You've Got a Friend In Me,Randy Newman
Beer Can't Fix (feat. Jon Pardi),Thomas Rhett
Before You Go,Lewis Capaldi
Toosie Slide,Drake
death bed (feat. beabadoobee) [coffee for your head],Powfu
Watermelon Sugar,Harry Styles
Circles,Post Malone
I Hope,Gabby Barrett
My Wish,Rascal Flatts
Butterflies (The Voice Performance),Micah Iverson
Don't Stop (The Voice Performance),Toneisha Harris & Blake Shelton
everything i wanted,Billie Eilish
Tennessee Whiskey,Chris Stapleton
I Hope You’re Happy Now,Carly Pearce & Lee Brice
The Box,Roddy Ricch
Be Kind,Marshmello & Halsey
Do It,Chloe x Halle
I Run To You (The Voice Performance),Micah Iverson & Kelly Clarkson
Rocket Man (The Voice Performance),Cammwess & John Legend
All of Me,John Legend
Got What I Got,Jason Aldean
Limitless,Bon Jovi
Level of Concern,twenty one pilots
Break My Heart,Dua Lipa
Have It All,Jason Mraz
TOGETHER,"for KING & COUNTRY, Tori Kelly & Kirk Franklin"
Life Is Good (feat. Drake),Future
Lady,Brett Young
On Me (feat. Ava Max),Thomas Rhett & Kane Brown
Ride It,Regard
Bang!,AJR
Shallow,Lady Gaga & Bradley Cooper
CAN'T STOP THE FEELING!,Justin Timberlake
Death By A Thousand Cuts (Live From Paris),Taylor Swift
If the World Was Ending (feat. Julia Michaels),JP Saxe & Julia Michaels
The Blessing (Live),"Kari Jobe, Cody Carnes & Elevation Worship"
One of Them Girls,Lee Brice
Pomp and Circumstance,Sir Edward Elgar
Daylight (Live From Paris),Taylor Swift
God Whispered Your Name,Keith Urban
Give It To You (from Songland),Julia Michaels
Summer Feelings (feat. Charlie Puth),Lennon Stella
Savage,Megan Thee Stallion
Five More Minutes,Jonas Brothers
Why We Drink,Justin Moore
Young & Sad,Noah Cyrus
Savage Remix (feat. Beyoncé),Megan Thee Stallion
Surrender,Natalie Taylor
I Can Only Imagine,MercyMe
Try Everything,Shakira
Nobody But You (Duet with Gwen Stefani) [Acoustic] [feat. Gwen Stefani],Blake Shelton
Only Human,Jonas Brothers
What a Man Gotta Do,Jonas Brothers
