Title,Artist,Lyrics
Long Way Home (The Voice Performance),Todd Tilghman,"New 2020 Songs
January
February
March
April
May
Camila Cabello - My Oh My (feat. DaBaby & Gunna)
Marshmello & Halsey - Be Kind
Doja Cat - Say So (feat. Nicki Minaj)
Sara Evans - Whenever I Call You ""Friend"" (feat. Phillip Sweet)
David Archuleta - Just Breathe
Queen & Adam Lambert - You Are The Champions
Sia - Saved My Life
Kygo & OneRepublic - Lose Somebody
Alexandra Stan - Take Me Home
Charli XCX - i finally understand
Demi Lovato - I Love Me (feat. Travis Barker) (Emo Version)
Tim McGraw - I Called Mama
Ariana Grande & Justin Bieber - Stuck with You
Lindsay Lohan - Back to Me (Dave Audé Remix)
Ava Max - Kings & Queens
Ava Max - Salt (Acoustic)
Inna - sober
Lennon Stella & Charlie Puth - Summer Feelings (feat. Charlie Puth)
Doja Cat - Say So (feat. Nicki Minaj) [Original Version]
Aly & AJ - Joan of Arc on the Dance Floor
Kelly Clarkson - I Dare You (Eden Prince Remix)
KYGO & OneRepublic - Lose Somebody
OneRepublic - Better Days (Live Quarantine Recording)
Kaitlyn Bristowe - If I'm Being Honest
Jonas Brothers - X (Feat. Karol G)
Katy Perry - Daisies
Just Sam - Rise Up (Performance Version)
Nick Jonas - Until We Meet Again
Thunderstorm Artis & Nick Jonas - You'll Be In My Heart (The Voice Performance)
Micah Iverson & Kelly Clarkson - I Run To You (The Voice Performance)
Cammwess & John Legend - Rocket Man (The Voice Performance)
Toneisha Harris & Blake Shelton - Don't Stop (The Voice Performance)
Thunderstorm Artis - Sedona
Micah Iverson - Butterflies
Todd Tilghman - Long Way Home
Toneisha Harris - My Superhero
Cammwess - Save It For Tomorrow

New 2020 Albums / EP's
January
February
March
April
May
Hailee Steinfeld - Half Written Story PT 1 [EP]

Album Flashbacks
January
February
March
April
May
Madonna - Bedtimes Stories (1994)
Madonna - American Life (2003)
Robyn - Honey (2018)
Britney Spears - Glory (2016)
Lady Gaga - Fame Monster (2009)
Cady Groves - This Little Girl [EP] (2012)
Billie Eilish - Ocean Eyes (Remixes) (2018)
Jessie J - ROSE (2018)
Britney Spears - Oops!... I Did It Again (2000)
Taylor Swift - Lover (2019)
Taylor Swift - Red (2012)

Notable 2020 Songs
Notable 2020 Albums
Notable 2020 Remixes"
X (feat. KAROL G),Jonas Brothers,"[Letra de ""Jonas Brothers - X ft. Karol G (Traducción al Español)""]

[Verso 1: Nick Jonas & Joe Jonas]
Yeah
Uh-la-la, junto a la piscina, cantábamos mientras bailando
Dos no-noches con una vista, sí
Manteniendo las persianas cerradas (Sí)
Ella dijo, ""Quiero encontrar a alguien antes del anochecer""
Uh-na-na, ¿podrías ser tú?
Baby, me gustas

[Pre-Chorus: Joe Jonas]
Oh, mirándola mover, me perdí en los ritmos
Y ella me agarró de cerca por la mirada en sus ojos
No sé su nombre, pero sé que la necesito
Ella dijo, ""Hombre, no te vas a sentir solo está noche""

[Chorus: Joe Jonas & Nick Jonas]
Ella dijo, ""Uh-uh-uh""
Bésame como tu ex novio estuviera en el cuarto
No tengas miedo de probar algo nuevo
Si lo haces bien, puedes ser alguien
Sí, alguien que
No me deje solo está noche

[Post-Chorus: Joe Jonas]
Sí, sí, sí
Sí, sí, sí
Sí

[Verse 2: Nick Jonas & Joe Jonas]
Uh-la-la, haz algo, yeah, baby, antes de la última oportunidad
Luna llena noche con las luces apagadas
Baby, tus oos lucen (Sí)
No sé por qué pero me siento como voy a volver (Loco)
Uh-la-la, si está bien
Sí, baby, me gustaría

[Pre-Chorus: Joe Jonas]
Oh, mirándola mover, me perdí en los ritmos
Y ella me agarró de cerca por la mirada en sus ojos (Sí)
No sé su nombre, pero sé que la necesito
Ella dijo, ""Hombre, no te vas a sentir solo está noche""

[Chorus: Joe Jonas & Nick Jonas]
Ella dijo, ""Uh-uh-uh"" (Uh-uh-uh)
Bésame como tu ex novio estuviera en el cuarto (Uh-uh-uh)
No tengas miedo de probar algo nuevo
Si lo haces bien, puedes ser alguien
Sí, alguien que (Sí)
No me deje solo está noche

[Verse 2: KAROL G]
Caliente, te pongo caliente (Ah)
No te de miedo vivir algo diferente (Eh, eh)
Las ganas no se equivocan (-vocan; eh)
Pon tu lengua en mi boca (Boca; eh)
Vive la vida loca, loca, loca, ah

[Pre-Chorus: KAROL G]
Toda la noche bailando contigo
Suave y salvaje como un animal
Yo sé que te gusta, pero esto es prohibido
Yo me voy contigo, dame la señal

[Chorus: Joe Jonas, KAROL G & Nick Jonas]
Ella dijo, ""Uh-uh-uh"" (Uh-uh-uh)
Bésame como tu ex novio estuviera en el cuarto (Uh-uh-uh)
No tengas miedo de probar algo nuevo
Si lo haces bien, puedes ser alguien
Sí, alguien que
Sí, sí, ah
No me deje solo está noche

[Outro: Karol G & Joe Jonas]
Uh, uh, uh
Uh, uh, uh
Uh, uh, uh
Está noche
Alguien que
No te vas a sentir solo está noche"
One Margarita,Luke Bryan,"[Verse 1]
Everybody here ain't from here
But we're here doin' our thing
Lettin' go a little, little by little
Sippin' on a frozen drink

[Pre-Chorus]
Tiki bars tik'n, pourin' all weekend
Clouds ain't leakin' no rain
Two pieces shakin', white caps a-breakin'
We ain't feelin' no pain, it goes like

[Chorus]
One margarita, two margarita, three margarita, shot
Don't worry 'bout tomorrow
Leave all your sorrow out here on the floatin' dock
When that sun lays down, we'll be on our way
One more barefoot round, one more last chance to say
""Hey, Señorita, don't you think we need a salt and a Buffett song?""
One margarita, two margarita, three margarita
We'll be gone

[Verse 2]
Ice blue skies, shades on the eyes
To tuck the bloodshot away
Hair of the dog, shouldn't take long
But who cares, we got all day
Palm trees a-leanin', sunburn screamin'
But we'll all be alright, after

[Chorus]
One margarita, two margarita, three margarita, shot
Don't worry 'bout tomorrow
Leave all your sorrow out here on the floatin' dock
When that sun lays down, we'll be on our way
One more barefoot round, one more last chance to say
""Hey, Señorita, don't you think we need a salt and a Marley song?""
One margarita, two margarita, three margarita
We'll be gone

[Post-Chorus]
We'll be gone

[Pre-Chorus]
Tiki bars tik'n, pourin' all weekend
Clouds ain't leakin' no rain
Two pieces shakin', white caps a-breakin'
We ain't feelin' no pain, feelin' no pain
It goes like

[Chorus]
One margarita, two margarita, three margarita, shot
Don't worry 'bout tomorrow
Leave all your sorrow out here on the floatin' dock
When that sun lays down, we'll be on our way
One more barefoot round, one more last chance to say
""Hey, Señorita, don't you think we need a salt and a Chesney song?""
One margarita, two margarita, three margarita
We'll be gone

[Post-Chorus]
We'll be gone
We'll be gone"
Blinding Lights,The Weeknd,"[Intro]
Yeah

[Verse 1]
I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

[Pre-Chorus]
I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

[Verse 2]
I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

[Pre-Chorus]
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

[Bridge]
I'm just coming back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey
Hey, hey, hey

[Outro]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch"
I Dare You,Kelly Clarkson,"[Verse 1]
There's a wolf that preys on a world that strays so far from the Garden (Oh)
And just like your own, every heart you know seems cold and hardened (Oh)
You may not have the stage, but you still have a voice
You may not have the strength, but if you have a choice

[Chorus]
I dare you to love
Oh, I dare you to love
Even if you're hurt and you can only see the worst
Even if you think it's not enough
Oh, I dare you to love

[Verse 2]
We're all full of hope, tryna stay afloat, tryna save one another
People let you drown 'cause they don't know how to stay above water
When they're too broken to know what they've put you through
Do the only thing that you'd want done to you

[Chorus]
Oh, I dare you to love (Dare you to love)
Oh, I dare you to love (I dare you to love)
Even if you're hurt and you can only see the worst (Oh)
Even if you think it's not enough
Oh, I dare you to love

[Post-Chorus]
I dare you to love, oh

[Bridge]
You may not have the stage, but you still have a voice
You may not have the strength, but if you have a choice

[Chorus]
I dare you to love, even if you can't
No, I dare you to love
Oh, even if you're hurt and you can only see the worst (Only see the worst)
Even if you think it's not enough
Oh, I, I dare you

[Outro]
I dare you
Oh, I, I dare you to love"
Champagne Night (From Songland),Lady Antebellum,"Playboi Carti - @ MEH
DaBaby - ROCKSTAR (feat. Roddy Ricch)
Sam Smith - I’m Ready (with Demi Lovato)
Joji - Gimme Love
Jeremy Zucker - somebody loves you
21 Savage - Secret (feat. Summer Walker)
Powfu - im used to it
Rina Sawayama - Bad Friend
Kid Cudi - Leader Of The Delinquents
Diplo - Do Si Do (with Blanco Brown)
Bazzi - I Got You
Florence + The Machine - Light Of Love
Kygo - Freedom
French Montana - That's A Fact
Lil Tecca - Out Of Love (feat. Internet Money)
dvsn - 'Flawless' Do It Well Pt. 3 (feat. Summer Walker)
Fiona Apple - Shameika
Brittany Howard - You and Your Folks, Me and My Folks - Recorded at East West Studios
Still Woozy - Window
Tate McRae - you broke me first
Y2K - Go Dumb (feat. blackbear, The Kid LAROI and Bankrol Hayden)
iann dior - Sick and Tired
girl in red - midnight love
Anson Seabra - Emerald Eyes
John Legend - Bigger Love
Kelly Clarkson - I Dare You
Dua Saleh - umbrellar
[Kenny Mason - PTSD] 🐚
Kehlani - Everybody Business
The Kid LAROI - Fade Away
Jamie xx - Idontknow
Ela Minus - they told us it was hard, but they were wrong. - Edit
Tiësto - Nothing Really Matters
Rvssian - No Me Ame
Kelly Rowland - COFFEE
Chloe x Halle - Catch Up (feat. Swae Lee & Mike WiLL Made-It)
La Roux - Automatic Driver - Tyler, The Creator Remix
Max Leone - The Beach
Jason Mraz - Look For The Good - Single Version
Jack Gilinsky - My Love
Christian French - i think too much
Lady Antebellum - Champagne Night - From Songland
Brett Eldredge - Gabrielle
Oh Wonder - Keep On Dancing
Noah Cunane - Miami
bbno$ - what would baby do
Westside Gunn - French Toast
Buddy - Bad Boys
Fredo Bang - Get Even
Dillon Francis - Touch
The Streets - Call My Phone Thinking I'm Doing Nothing Better
Amber Mark - Waiting - Demo
Tiana Major9 - Think About You - Notion Mix
The-Dream - Wee Hours
Pitbull - I Believe That We Will Win (World Anthem)
Becky G - They Ain't Ready
Cheap Cuts - Check Your Phone (Feat. Pete Wentz of Fall Out Boy)
Sueco the Child - Juice
Deante' Hitchcock - I Got Money Now (feat. JID)
[YFN Lucci - Designer Junkie]🐚

Camilo - El Mismo Aire
Lost Frequencies - Love To Go
Lauren Jauregui - 50ft.
Blu DeTiger - Figure It Out
Lime Cordiale - On Our Own
Hayley Williams - Why We Ever
Brad Paisley - No I in Beer
Morgan Wallen - More Than My Hometown
Lola Young - None For You
[Lido Pimienta - Resisto Y Ya]()🐚
Kaash Paige - Frank Ocean
Tech N9ne - Dr. Sebagh
Jackboy - Like a Million
Lil Keed - No Dealings
Blueface - Tour
Jonah Mutono - The Low
Gerry Cinnamon - Head in the Clouds
A Day To Remember - Mindreader
The Used - Cathedral Bell
Car Seat Headrest - Hollywood
Nate Traveller - Airport
Rence - Tears In December
Zhavia Ward - Waiting
Duke Dumont - Nightcrawler
Justin Jesso - If you're meant to come back
Łaszewo - Sad Bitch
Kelsy Karter - Devil On My Shoulder
RIMON - Out Of My Way
Paige - Yellow
EOB - Banksters
Ruston Kelly - Brave
Jameson Rodgers - Cold Beer Calling My Name
Angels & Airwaves - All That's Left Is Love
Lil Loaded - Wit The Business
Lil Benny - Company
Elah Hale - My House
[Naeem - Simulation (feat. Swamp Dogg, Justin Vernon)]()"
Nobody But You (feat. Gwen Stefani),Blake Shelton,"[Verse 1: Blake Shelton, Blake Shelton & Gwen Stefani]
Don't have to leave this town to see the world
'Cause it's something that I gotta do
I don't wanna look back in 30 years
And wonder who you're married to
Wanna say it now, wanna make it clear
For only you and God to hear
When you love someone, they say you set 'em free
But that ain't gonna work for me

[Chorus: Blake Shelton & Gwen Stefani]
I don't wanna live without you
I don't wanna even breathe
I don't wanna dream about you
Wanna wake up with you next to me
I don't wanna go down any other road now
I don't wanna love nobody but you
Lookin' in your eyes now, if I had to die now
I don't wanna love nobody but you
You

[Verse 2: Blake Shelton & Gwen Stefani]
All the wasted days, all the wasted nights
I blame it all on being young
Got no regrets 'cause it got me here
But I don't wanna waste another one
I been thinkin' about what I want in my life
It begins and ends the same
If I had to choose what I couldn't lose
There'd only be one thing

[Chorus: Blake Shelton & Gwen Stefani]
I don't wanna live without you
I don't wanna even breathe
I don't wanna dream about you
Wanna wake up with you next to me
I don't wanna go down any other road now
I don't wanna love nobody but you
Lookin' in your eyes now, if I had to die now
I don't wanna love nobody but you
You
I don't wanna love nobody but you (You)

[Bridge: Blake Shelton & Gwen Stefani]
Wanna say it now, wanna make it clear
For only you and God to hear

[Chorus: Blake Shelton & Gwen Stefani, Blake Shelton, Gwen Stefani]
I don't wanna live without you
I don't wanna even breathe
I don't wanna dream about you
Wanna wake up with you next to me (Next to me)
I don't wanna go down any other road now
I don't wanna love nobody but you (I don't wanna love nobody)
Lookin' in your eyes now, if I had to die now
I don't wanna love nobody but you
You
I don't wanna love nobody but you (You)
I don't wanna love nobody but you"
ROCKSTAR (feat. Roddy Ricch),DaBaby,"[Intro: DaBaby]
Woo, woo
I pull up (pull up)
Like
How you pull up, Baby? How you pull up? (Oh, oh, oh)
How you pull up? I pull up (Woo, Seth in the kitchen)

[Chorus: DaBaby]
Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar?
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo)
And if I ain't enough, go get the chop

[Verse 1: DaBaby]
It's safe to say I earned it, ain't a nigga gave me nothin' (Yeah, yeah, yeah)
I'm ready to hop out on a nigga, get to bustin'
Know you heard me say, ""You play, you lay,"" don't make me push the button
Full of pain, dropped enough tears to fill up a fuckin' bucket
Goin' for buckets, I bought a chopper
I got a big drum, it hold a hundred, ain't goin' for nothin'
I'm ready to air it out on all these niggas, I can see 'em runnin'
Just talked to my mama, she hit me on FaceTime just to check up on me and my brother
I'm really the baby, she know that her youngest son was always guaranteed to get the money (Okay, let's go)
She know that her baby boy was always guaranteed to get the loot
She know what I do, she know 'fore I run from a nigga, I'ma pull it out and shoot (Boom)
PTSD, I'm always waking up in cold sweats like I got the flu
My daughter a G, she saw me kill a nigga in front of her before the age of two (two)
Woo, woo
I pull up like
Yeah yeah
How you pull up?

[Chorus: DaBaby & Roddy Ricch]
Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar?
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo, yeah)
And if I ain't enough, go get the chop (Yeah, yeah)

[Verse 2: Roddy Ricch]
Keep a Glocky when I ride in the Suburban
'Cause the codeine had a young nigga swervin'
I got the mop, watch me wash 'em like detergent
And I'm ballin', that's why it's diamonds on my jersey
Slide on opps' side and flip the block back, yeah, yeah
My junior popped him and left him lopsided, yeah, yeah
We spin his block, got the rebound, Dennis Rodman
Fool me one time, you can't cross me again
Twelve hundred horsepower, I get lost in the wind
If he talkin' on the yard, the pen' dogs'll take his chin
Maybach SUV for my refugees
Buy blocks in the hood, put money in the streets
I was solo when the opps caught me at the gas station
Had it on me, thirty thousand, thought it was my last day
But they ain't even want no smoke
If I had to choose it, murder what she wrote-oh-oh-oh

[Chorus: DaBaby]
Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar?
This ain't no guitar, bitch, this a Glock (Glock, Glock, Glock, Glock)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo)
And if I ain't enough, go get the chop (chop, chop, chop, chop)

[Outro]
Woo, woo
Go get the chop (chop, chop, chop, chop)
Woo, woo
Go get the chop (chop, chop, chop, chop)"
Savage Remix (feat. Beyoncé),Megan Thee Stallion,"          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        "
Daisies,Katy Perry,"[Verse 1]
Told them your dreams, and they all started laughing
I guess you're out of your mind 'til it actually happens

[Pre-Chorus]
I'm the small town
One in seven billion
Why can't it be me?

[Chorus]
They told me I was out there, tried to knock me down
Took those sticks and stones, showed 'em I could build a house
They tell me that I'm crazy, but I'll never let 'em change me
'Til they cover me in daisies, daisies, daisies
They said I'm going nowhere, tried to count me out
Took those sticks and stones, showed 'em I could build a house
They tell me that I'm crazy, but I'll never let 'em change me
'Til they cover me in daisies, daisies, daisies

[Verse 2]
When did we all stop believing in magic?
Why did we put all our hopes in a box in the attic?

[Pre-Chorus]
I'm the long shot
I'm the Hail Mary
Why can't it be me?

[Chorus]
They told me I was out there, tried to knock me down (Knock me down)
Took those sticks and stones, showed 'em I could build a house
They tell me that I'm crazy, but I'll never let 'em change me
'Til they cover me in daisies, daisies, daisies
They said I'm going nowhere, tried to count me out
Took those sticks and stones, showed 'em I could build a house
They tell me that I'm crazy, but I'll never let 'em change me
'Til they cover me in daisies, daisies, daisies

[Bridge]
Hey, hey
Oh, cover me in daisies
Hey, hey

[Pre-Chorus]
I'm the small town
One in seven billion
Why can't it be me?

[Chorus]
They told me I was out there, tried to knock me down
Took those sticks and stones, showed 'em I could build a house
They tell me that I'm crazy, but I'll never let 'em change me
'Til they cover me in daisies, daisies, daisies
They said I'm going nowhere, tried to count me out (Count me out)
Took those sticks and stones, showed 'em I could build a house
They tell me that I'm crazy, but I'll never let 'em change me
'Til they cover me in daisies, daisies, daisies"
