Title,Artist
Sunday Best,Surfaces
Dollar,Electric Guest
OK,Wallows
Moon (And It Went Like),Kid Francescoli
Supalonely,BENEE
Honeypie,Gus Dapperton
Little Things (with Quinn XCII & Chelsea Cutler),JAWNY
For a Minute,Louis The Child
Chemicals,Quinn XCII
Floating (feat. Khalid) [filous Remix],Chelsea Cutler
Purple Hat,WizTheMc
Borderline,SG Lewis
Butterflies,Alina Baraz
Tokyo Drifting (with Denzel Curry),filous
Rushing Back,Khalid
Nirvana,Sofi Tukker
Group Therapy,Tame Impala
ROCKSTAR (feat. Roddy Ricch),DaBaby
Needs,Fiji Blue
Make You Mine,Glass Animals
EARFQUAKE,Denzel Curry
Can I Call You Tonight?,Flume
Youuu,Vera Blue
Nothing,ELLIANA
Lose My Mind (feat. Mr Gabriel),Elohim
Good Day,Verzache
Running Red Lights (feat. Rivers Cuomo & Pink Siifu),PUBLIC
Let Go Today,"Tyler, The Creator"
Potions,Dayglow
Imaginary Friends - St. Lucia Remix,COIN
Sanctuary,SADBOii
THE SCOTTS,Roddy Ricch
Blueberry Faygo,THE SCOTTS
Blinding Lights,Travis Scott
Toosie Slide,Kid Cudi
The Box,Lil Mosey
GOOBA,The Weeknd
WHATS POPPIN,Drake
Party Girl,Roddy Ricch
Stuck with U (with Justin Bieber),6ix9ine
Roses - Imanbek Remix,Jack Harlow
Savage Remix (feat. Beyoncé),StaySolidRocky
After Party,Ariana Grande
Life Is Good (feat. Drake),Justin Bieber
Righteous,SAINt JHN
Walk Em Down (feat. Roddy Ricch),Imanbek
death bed (coffee for your head) (feat. beabadoobee),Megan Thee Stallion
Flex (feat. Juice WRLD),Beyoncé
Circles,Don Toliver
Sunday Best,Future
Say So (feat. Nicki Minaj),Drake
Intentions (feat. Quavo),Juice WRLD
Don't Start Now,NLE Choppa
Adore You,Roddy Ricch
Sea Change,Stephan Moccio
Into the Unknown,Idina Menzel
Coaster,Khalid
Solitaires (feat. Travis Scott),Powfu
Chicago Freestyle (feat. Giveon),beabadoobee
Supalonely,Polo G
Say So,Juice WRLD
ROXANNE,Post Malone
Falling,Surfaces
Onthou,Ever So Blue
Gaze,Moux
Choices,Patricia Sevin
Alene uden dig,Tosh Møller
Solitude,Joep Beving
Vals De Rodrigues,Eric Badanti
Isla De Flores,Berlioz
Sagittabondo,Maura Bellucci
Whitby,Stephan Moccio
Des ponts plutôt que des murs,Zdenek Lemelin
Continuo,Mauro Cangemi
Duende,Amity Fall
The Cottage,Pamela Goldings
Mère bien-aimée,Céline Aubin
Comforting,Albert Riqueti
Watching Over You,Jef Martens
Just Us,Geir Gudmundson
And I Always Will,Julien Thorsen
Theben,Oskar Schuster
Samarcande,Limestone Quarry
Con el tiempo todo se consigue,Claribel Ramón
Where's My Love - Piano Solo,SYML
N'abandonne pas,Libor Kolman
Finding Hope,Haakon Stange
Fracture,Stephan Moccio
Bellevue,Franz Becker
Aquatic,Sigrid Vass
I Remember,GÅEL
Mrs.Kelley,Leroy Bolander
Hakuna Matata,AURORA
When I Am Older,Billy Eichner
"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version",Seth Rogen
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",JD McCrary
Speechless (Full),Childish Gambino
"All I Want - From ""High School Musical: The Musical: The Series""",Josh Gad
"Let It Go - From ""Frozen""/Soundtrack Version",Susan Egan
"He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version",Cheryl Freeman
Into the Unknown - Panic! At The Disco Version,LaChanze
You're Welcome,Vaneese Thomas
Remember Me (Dúo),Lillias White
Never Too Late,Kristen Bell
I2I,Santino Fontana
"Once Upon a Dream - From ""Maleficent"" / Pop Version",Naomi Scott
When We're Human,Olivia Rodrigo
"Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version",Idina Menzel
Dig a Little Deeper,Mark Keali'i Ho'omalu
"We're All In This Together - From ""High School Musical""/Soundtrack Version",Kamehameha Schools Children's Chorus
Try Everything,Panic! At The Disco
Friend Like Me,Dwayne Johnson
Playing Games (with Bryson Tiller) - Extended Version,Summer Walker
Nights Like This (feat. Ty Dolla $ign),Bryson Tiller
Exchange,Kehlani
Love Me Like (feat. DUCKWRTH),Ty Dolla $ign
"Yo Love - From ""Queen & Slim: The Soundtrack""",Bryson Tiller
Losin Control,Rayana Jay
Saved,Duckwrth
From Time,Vince Staples
Her,6LACK
You Can't Save Me,Mereba
Honesty,Russ
Missin You Crazy,Khalid
Bacc Seat (feat. Ty Dolla $ign),Drake
Blue Lights,Jhené Aiko
Sure Thing,Majid Jordan
Girls Need Love (with Drake) - Remix,SiR
Streets,Pink Sweat$
Think About Me,Russ
Take (feat. Ty Dolla $ign),Roddy Ricch
Die For You,Ty Dolla $ign
Thinkin Bout You,Jorja Smith
Poison,Miguel
Could've Been (feat. Bryson Tiller),Summer Walker
I Fall Apart,Drake
Don't,Doja Cat
Doing It Wrong,dvsn
Best Part (feat. H.E.R.),Arin Ray
Pretty Little Fears (feat. J. Cole),Ty Dolla $ign
Easily,The Weeknd
Lonely (with Jonas Brothers),Diplo
Beautiful People (feat. Khalid),Ed Sheeran
"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",Miguel
"I'll Make a Man Out of You - From ""Mulan""/Soundtrack",Natalia Lafourcade
I Just Can't Wait to Be King,Elton John
"Touch The Sky - From ""Brave""/Soundtrack",DCappella
I Can't Let You Throw Yourself Away,Lana Del Rey
"Strangers Like Me - From ""Tarzan""/Soundtrack Version",Michael-Leon Wooley
"Step In Time - From ""Mary Poppins""/Soundtrack Version",Bruno Campos
Here Comes Elastigirl - Elastigirl's Theme,Anika Noni Rose
"A Girl Worth Fighting For - From ""Mulan""/Soundtrack",Terence Blanchard
Intentions (feat. Quavo),Jonas Brothers
Up All Night,Justin Bieber
Tattoos Together,Quavo
Unbelievable,Khalid
Ready,Lauv
"10,000 Hours (with Justin Bieber)",Why Don't We
Call You Mine,Alessia Cara
Never Seen The Rain,Dan + Shay
Watermelon Sugar,Justin Bieber
What A Man Gotta Do,The Chainsmokers
Nobody,Bebe Rexha
Nice To Meet Ya,Tones And I
Midnight (feat. Liam Payne),Harry Styles
Post Malone (feat. RANI),Jonas Brothers
Be Kind (with Halsey),Martin Jensen
Circles,James Arthur
Black And White,Niall Horan
I Love You's,Alesso
Know Your Worth,Liam Payne
Lights Up,Sam Feldt
Never Really Over,RANI
Graveyard,Marshmello
Takeaway,Halsey
Good as Hell (feat. Ariana Grande) - Remix,Post Malone
Memories,Niall Horan
Free Spirit,Hailee Steinfeld
The Bones - with Hozier,Khalid
Don't Start Now,Disclosure
Body Back (feat. Maia Wright),Harry Styles
Sixteen,Khalid
What A Man Gotta Do,Ellie Goulding
What I Like About You (feat. Theresa Rex),Jonas Brothers
Sing It With Me,Jonas Blue
I Don't Care (with Justin Bieber),Theresa Rex
Never Seen The Rain,JP Cooper
Never Really Over,Astrid S
Slow Dance (feat. Ava Max) - Sam Feldt Remix,Ed Sheeran
Younger,Justin Bieber
Rescue Me,Tones And I
Harder (with Bebe Rexha),Katy Perry
No One Compares To You,AJ Mitchell
Big Plans,Ava Max
Polaroid,Sam Feldt
Family,Jonas Blue
Rewrite The Stars (with James Arthur & Anne-Marie),HRVY
Only Human,OneRepublic
In Betweenin',Jax Jones
Love You Better,Bebe Rexha
Call You Mine,Jack & Jack
Can We Pretend (feat. Cash Cash),Why Don't We
Ooh Girl (feat. A Boogie Wit da Hoodie),Jonas Blue
Small Talk,Liam Payne
Higher Love,Lennon Stella
"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",The Chainsmokers
Get To Know You,Kygo
Don't Start Now,James Arthur
Perfect to Me,Anne-Marie
Let It Be Me (feat. Ava Max),Jonas Brothers
