Sunday Best,Surfaces,"""Sunday Best"" by Surfaces:
    [Intro: Forrest]
    Good, feeling good
    
    [Chorus: Forrest]
    Ayy, feeling good, like I should
    Went and too..."
Dollar,Electric Guest,"""Dollar"" by Electric Guest:
    [Verse 1]
    Ooh
    You think I'm nothin' but another fool
    I'm better
    I'm better than you
    I'm like ooh
    I c..."
OK,Wallows,"""OK"" by Wallows:
    [Verse 1: Dylan Minnette]
    I know you so well
    You know that I can tell the slightest difference in yo..."
Moon (And It Went Like),Kid Francescoli,"""Lore Of The Unicorn - Chapter 8"" by Odell Shepard:
    CHAPTER VIII
    
    CONJECTURES
    
    HAVING considered some of the more important arguments and observations t..."
Supalonely,BENEE,"""Supalonely"" by BENEE:
    [Chorus: BENEE]
    I know I fucked up, I'm just a loser
    Shouldn't be with ya, guess I'm a quitter
    While..."
Honeypie,JAWNY,"""Honeypie"" by JAWNY:
    [Chorus]
    Ooh, girl, don't you stop
    Don't you stop 'til you get enough, honey
    Oh, honey, honey-pie, h..."
Little Things (with Quinn XCII & Chelsea Cutler),Louis The Child,"""New Music Friday 4/3/20"" by Spotify:
    Drake - Toosie Slide
    DaBaby - Find My Way
    Frank Ocean - Dear April
    Troye Sivan - Take Yourself Home
    ..."
For a Minute,WizTheMc,"""For a Minute"" by WizTheMc:
    [Chorus]
    You want my love
    I want your heart
    Just for a minute
    Come by and let me fill it
    Cause
    You w..."
Chemicals,SG Lewis,"""Chemicals"" by SG Lewis:
    [Verse 1]
    She knows, she knows what she's done
    And finally, I’m fallin' under
    And she might never gi..."
Floating (feat. Khalid) [filous Remix],Alina Baraz,"""Floating (filous Remix)"" by Alina Baraz:
    [Verse 1: Alina Baraz]
    It's in the way you see
    You know what I need
    It's in the way that you're hold..."
Purple Hat,Sofi Tukker,"""Purple Hat"" by Sofi Tukker:
    [Verse 1]
    Purple hat, cheetah print
    Dancing on the people
    Rolled up at the after joint
    Dancing‚ danc..."
